id,category,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
11,Support & Resistance,Support adalah area harga di mana:,Tekanan jual dominan,Tekanan beli meningkat,Harga selalu turun,Volume rendah,B,"Support adalah area harga di mana tekanan beli meningkat karena banyak pembeli yang masuk pasar ketika harga turun ke level tersebut, sehingga menciptakan kekuatan yang cukup untuk menghentikan penurunan harga dan berpotensi membalikkan arah menjadi naik."
12,Support & Resistance,Resistance terjadi karena:,Banyak pembeli menahan harga,Banyak penjual melepas aset,Harga terlalu murah,Volume terlalu kecil,B,"Resistance terjadi karena banyak penjual melepas aset di area harga tersebut, sehingga menciptakan tekanan jual yang kuat yang mampu menghentikan kenaikan harga dan berpotensi membalikkan arah tren menjadi turun."
13,Support & Resistance,Resistance yang ditembus kuat berpotensi menjadi:,Resistance baru,Support baru,Area netral,Fake level,B,"Resistance yang ditembus kuat berpotensi menjadi support baru karena setelah harga berhasil breakout ke atas dengan volume dan momentum yang kuat, level resistance tersebut sering kali berubah fungsi menjadi support di mana harga cenderung menguji kembali level itu sebagai area beli baru, sesuai dengan konsep role reversal dalam analisis teknikal."
14,Candlestick Patterns,Candlestick mencerminkan:,Fundamental perusahaan,Psikologi pelaku pasar,Nilai buku saham,Laporan keuangan,B,"Candlestick mencerminkan psikologi pelaku pasar karena setiap candlestick menggambarkan perjuangan antara pembeli dan penjual dalam suatu periode waktu melalui harga Open, High, Low, dan Close, sehingga pola-pola candlestick merepresentasikan emosi, kekuatan, dan sentimen pasar seperti greed, fear, keraguan, atau dominasi satu pihak."
15,Candlestick Patterns,Pola Hammer valid jika muncul di:,Puncak uptrend,Tengah sideways,Dasar downtrend,Resistance,C,"Pola Hammer valid jika muncul di dasar downtrend karena pola ini merupakan sinyal pembalikan bullish yang kuat, di mana harga sempat turun tajam (long lower shadow) namun ditutup di dekat level pembukaan oleh kekuatan pembeli, menandakan bahwa tekanan jual mulai melemah dan potensi tren naik akan segera terjadi."
16,Chart Patterns,Pola Head and Shoulders merupakan pola:,Continuation,Reversal bearish,Reversal bullish,Sideways,B,Pola Head and Shoulders (tanpa keterangan tambahan) umumnya merujuk pada versi top yang terbentuk setelah tren naik dan menandakan pembalikan ke tren turun (bearish reversal).
17,Technical Indicators,Relative Strength Index bergerak dalam rentang:,0-50,0-100,-100-100,20-80,B,"Indikator RSI (Relative Strength Index) dirancang untuk berosilasi dalam rentang 0 hingga 100, dengan level jenuh beli (overbought) umumnya di atas 70 dan jenuh jual (oversold) di bawah 30."
18,Technical Indicators,RSI di bawah 30 menunjukkan kondisi:,Overbought,Oversold,Netral,Breakout,B,"Dalam analisis teknikal, RSI di bawah 30 mengindikasikan bahwa aset telah mengalami penurunan harga yang berlebihan sehingga dianggap jenuh jual (oversold), berpotensi mengalami pembalikan naik."
19,Technical Indicators,Moving Average digunakan untuk:,Mengukur volume,Menghaluskan pergerakan harga,Menentukan EPS,Menentukan volatilitas saja,B,"Moving Average digunakan untuk menghaluskan pergerakan harga dan mengidentifikasi arah tren karena dengan merata-rata data harga dalam periode tertentu, indikator ini mengurangi fluktuasi acak sehingga memudahkan analis melihat apakah tren sedang naik, turun, atau sideways."
20,Technical Indicators,Golden Cross terjadi saat:,MA pendek memotong MA panjang ke bawah,MA panjang memotong MA pendek ke atas,MA pendek memotong MA panjang ke atas,Harga memotong volume,C,"Golden Cross terjadi saat rata-rata pergerakan jangka pendek (misalnya MA 50) memotong ke atas rata-rata pergerakan jangka panjang (misalnya MA 200), yang umumnya dianggap sebagai sinyal awal tren naik (bullish) setelah periode tren turun."
21,Volume Analysis,Fungsi utama volume adalah untuk:,Menentukan nilai wajar,Konfirmasi pergerakan harga,Prediksi fundamental,Menentukan support,B,"Dalam analisis teknikal, volume berfungsi sebagai alat konfirmasi untuk menilai kekuatan atau kelemahan suatu tren pergerakan harga, misalnya kenaikan harga yang disertai volume besar dianggap lebih valid dibandingkan tanpa volume."
22,Volume Analysis,Breakout yang valid biasanya disertai:,Volume kecil,Volume meningkat,Volume stagnan,Tanpa volume,B,"Dalam analisis teknikal, breakout yang valid dan meyakinkan biasanya disertai dengan lonjakan volume sebagai konfirmasi bahwa pergerakan harga didukung oleh partisipasi pasar yang kuat."
23,Risk & Money Management,Stop loss bertujuan untuk:,Mengunci keuntungan,Membatasi risiko kerugian,Menambah posisi,Menghindari pajak,B,"Stop loss merupakan perintah otomatis untuk menutup posisi saat harga mencapai level tertentu, sehingga trader dapat mengendalikan kerugian maksimal yang bersedia ditanggung tanpa harus terus memantau pasar."
24,Risk & Money Management,Risk : Reward yang sehat minimal:,1:1,2:2,1:2,2:1,C,"Rasio risk-reward minimal yang sehat dalam trading umumnya adalah 1:2, artinya potensi keuntungan dua kali lipat dari risiko kerugian untuk memastikan profitabilitas jangka panjang meskipun tingkat kemenangan tidak tinggi."
25,Risk & Money Management,Position sizing digunakan untuk:,Maksimalkan profit,Batasi kerugian per transaksi,Menentukan tren,Menentukan indikator,B,"Position sizing adalah metode manajemen risiko yang menentukan besarnya modal yang ditempatkan pada satu posisi transaksi untuk membatasi kerugian maksimal per perdagangan, bukan untuk memaksimalkan profit, menentukan tren, atau indikator."
26,Philosophy & History of Technical Analysis,Overtrading umumnya disebabkan oleh:,Disiplin,Kesabaran,Emosi,Sistem yang baik,C,"Overtrading umumnya dipicu oleh faktor psikologis seperti keserakahan, ketidak sabaran, atau keinginan membalas kerugian (revenge trading), bukan oleh disiplin, kesabaran, atau sistem yang baik."
27,Philosophy & History of Technical Analysis,FOMO berarti:,Takut rugi,Takut ketinggalan peluang,Takut salah,Takut loss besar,B,"FOMO (Fear Of Missing Out) adalah istilah psikologis dalam trading di mana seseorang terburu-buru membuka posisi karena khawatir kehilangan potensi keuntungan, sering kali mengabaikan rencana dan analisis."
28,Technical Indicators,Analisis multi-timeframe bertujuan untuk:,Memperbanyak sinyal,Menghindari risiko,Menyelaraskan tren besar dan kecil,Menghilangkan indikator,C,"Analisis multi-timeframe memungkinkan trader untuk melihat tren utama pada timeframe yang lebih panjang (sebagai konteks) dan sinyal entry pada timeframe yang lebih pendek (sebagai eksekusi), sehingga keputusan trading selaras dengan arah dominan pasar."
29,Technical Indicators,Entry searah tren utama disebut:,Counter trend,Trend following,Mean reversion,Scalping,B,"Strategi ini berarti membuka posisi searah dengan tren utama (misalnya membeli saat uptrend atau menjual saat downtrend), berbeda dengan counter trend, mean reversion, atau scalping yang tidak selalu searah tren utama."
30,Technical Indicators,Indikator sebaiknya digunakan sebagai:,Satu-satunya acuan,Pengganti price action,Alat bantu konfirmasi,Penentu pasti arah harga,C,"Indikator teknikal tidak boleh diandalkan sebagai satu-satunya acuan atau penentu pasti arah harga, melainkan berfungsi untuk mengonfirmasi sinyal yang sudah terlihat dari price action atau struktur pasar."
31,Volume Analysis,Harga naik tetapi volume menurun mengindikasikan:,Tren sangat kuat,Konfirmasi bullish,Potensi pelemahan tren,Breakout valid,C,"Dalam analisis teknikal, kenaikan harga yang tidak didukung oleh volume yang meningkat menunjukkan kurangnya minat beli yang kuat, sehingga tren naik tersebut dianggap lemah dan berpotensi segera berbalik atau konsolidasi."
32,Volume Analysis,Divergence bullish terjadi saat:,Harga naik - indikator naik,Harga naik - indikator turun,Harga turun - indikator naik,Harga dan indikator sama,C,"Divergensi bullish terjadi ketika harga membentuk titik terendah yang lebih rendah (lower low) tetapi indikator membentuk titik terendah yang lebih tinggi (higher low), mengindikasikan pelemahan momentum turun dan potensi pembalikan naik."
33,Volume Analysis,False breakout sering terjadi saat:,Volume besar,Volume kecil,Tren kuat,Konfirmasi lengkap,B,"False breakout (breakout palsu) sering terjadi ketika volume tidak meningkat atau cenderung kecil, yang menunjukkan kurangnya partisipasi dan keyakinan pasar sehingga harga gagal bertahan di level breakout."
34,Risk & Money Management,Seorang RTA seharusnya memberikan rekomendasi berdasarkan:,Analisis objektif dan terukur,Rumor pasar,Opini pribadi,Emosi pasar,A,"Seorang Regular Technical Analyst (RTA) wajib memberikan rekomendasi berdasarkan data harga, volume, dan indikator teknikal yang dapat diuji dan direplikasi, bukan berdasarkan rumor, opini pribadi, atau emosi pasar."
35,Risk & Money Management,Kompetensi utama RTA adalah:,Menjamin profit,Menganalisis probabilitas pasar,Memprediksi harga pasti,Menghindari kerugian total,B,"Kompetensi utama seorang Regular Technical Analyst (RTA) bukanlah menjamin profit atau memprediksi harga secara pasti, melainkan menggunakan alat analisis teknikal untuk mengidentifikasi skenario dengan probabilitas tinggi serta mengelola risiko."
36,Risk & Money Management,Analisis teknikal paling efektif jika dikombinasikan dengan:,Spekulasi,Emosi,Manajemen risiko,Rumor,C,"Analisis teknikal sehebat apa pun tetap membutuhkan manajemen risiko (stop loss, position sizing, rasio risk:reward) untuk mengantisipasi ketidakpastian pasar dan melindungi modal, sementara spekulasi, emosi, atau rumor justru cenderung merusak objektivitas analisis."
37,Dow Theory & Market Cycles,Time frame besar digunakan untuk:,Entry cepat,Noise,Scalping,Menentukan tren utama,D,"Time frame yang lebih besar (harian, mingguan, bulanan) digunakan untuk mengidentifikasi arah tren dominan, sedangkan time frame kecil lebih cocok untuk entry cepat atau scalping."
38,Risk & Money Management,Cut loss idealnya dilakukan:,Saat profit,Saat target tercapai,Sesuai rencana trading,Saat panik,C,"Cut loss yang ideal tidak dilakukan berdasarkan emosi seperti panik atau saat profit, melainkan dieksekusi sesuai level stop loss yang telah ditentukan dalam rencana trading untuk membatasi kerugian secara disiplin."
39,Risk & Money Management,Trading plan berfungsi untuk:,Membatasi peluang,Panduan disiplin trading,Menghilangkan risiko,Menjamin profit,B,"Trading plan berfungsi sebagai kerangka aturan yang membantu trader tetap disiplin dalam mengambil keputusan, mengelola risiko, dan menghindari tindakan impulsif, meskipun tidak dapat menghilangkan risiko atau menjamin profit."
40,Risk & Money Management,Tujuan utama sertifikasi RTA LSPPM adalah:,Menstandarkan kompetensi analis teknikal,Menjamin profit,Mencetak trader kaya,Menghilangkan risiko pasar,A,"Sertifikasi RTA (Regular Technical Analyst) yang dikeluarkan oleh Lembaga Sertifikasi Profesi Pasar Modal (LSPPM) secara khusus dirancang untuk memastikan dan mengakui kompetensi profesional di bidang analisis teknikal sesuai standar nasional, guna menghasilkan tenaga kerja yang kredibel dan kompeten di pasar modal."
41,Dow Theory & Market Cycles,Dow Theory dikembangkan oleh:,Ralph Nelson Elliott,Charles H. Dow,John Bollinger,W.Gann,B,"Dow Theory merupakan teori analisis teknikal yang dikemukakan oleh Charles H. Dow, pendiri Wall Street Journal, yang menjadi dasar bagi analisis tren pasar modal."
42,Dow Theory & Market Cycles,Dow Theory merupakan dasar dari:,Analisis fundamental,Analisis teknikal modern,Manajemen risiko,Psikologi trading,B,"Dow Theory yang dikemukakan oleh Charles H. Dow merupakan fondasi utama dari analisis teknikal modern dengan konsep tren, konfirmasi indeks, dan volume sebagai penguat."
43,Dow Theory & Market Cycles,"Menurut Dow Theory, harga pasar mencerminkan:",Informasi teknikal saja,Informasi fundamental saja,Semua informasi yang tersedia,Informasi internal perusahaan,C,"Menurut Dow Theory, prinsip pertama menyatakan bahwa pasar mendiskontokan semua informasi (termasuk fundamental, politik, psikologis, dan lainnya) ke dalam harga."
44,Dow Theory & Market Cycles,Dow Theory menyatakan bahwa pergerakan harga terdiri dari:,2 jenis tren,3 jenis tren,4 jenis tren,5 jenis tren,B,"Menurut Dow Theory, pergerakan harga terdiri dari tiga jenis tren, yaitu tren utama (primary), tren sekunder (secondary), dan tren minor (short-term)."
45,Dow Theory & Market Cycles,Tren utama (Primary Trend) berlangsung selama:,Beberapa hari,Beberapa minggu,Beberapa bulan hingga tahun,Beberapa jam,C,"Menurut Dow Theory, tren utama (primary trend) adalah pergerakan harga jangka panjang yang dapat berlangsung dari beberapa bulan hingga beberapa tahun, berbeda dengan tren sekunder (beberapa minggu hingga bulan) atau tren minor (beberapa hari hingga minggu)."
46,Dow Theory & Market Cycles,Tren sekunder (Secondary Trend) bersifat:,Arah utama pasar,Koreksi terhadap tren utama,Sideways jangka panjang,Noise pasar,B,"Menurut Dow Theory, tren sekunder (secondary trend) merupakan pergerakan yang berlawanan arah dengan tren utama, berfungsi sebagai koreksi atau pullback, dan berlangsung selama beberapa minggu hingga beberapa bulan."
47,Dow Theory & Market Cycles,Tren minor dalam Dow Theory berlangsung:,Bulanan,Mingguan,Harian hingga mingguan,Tahunan,C,"Dalam Dow Theory, tren minor merupakan fluktuasi harga jangka pendek yang biasanya berlangsung dari beberapa hari hingga beberapa minggu dan cenderung bersifat noise dalam konteks tren utama."
48,Dow Theory & Market Cycles,Tren bullish menurut Dow Theory ditandai oleh:,Lower High & Lower Low,Higher High & Higher Low,Equal High & Equal Low,Lower High & Higher Low,B,"Menurut Dow Theory, tren bullish (uptrend) didefinisikan dengan serangkaian puncak yang semakin tinggi (higher high) dan lembah yang semakin tinggi (higher low) sebagai bukti dominasi tekanan beli."
49,Dow Theory & Market Cycles,Tren bearish menurut Dow Theory ditandai oleh:,Higher High & Higher Low,Higher High & Lower Low,Lower High & Lower Low,Sideways,C,"Menurut Dow Theory, tren bearish (downtrend) didefinisikan dengan serangkaian puncak yang semakin rendah (lower high) dan lembah yang semakin rendah (lower low) sebagai bukti dominasi tekanan jual."
50,Dow Theory & Market Cycles,"Menurut Dow Theory, tren dianggap valid hingga:",Terjadi koreksi kecil,Volume menurun,Ada sinyal pembalikan yang jelas,Harga stagnan,C,"Menurut Dow Theory, tren yang telah terbentuk akan dianggap masih berlanjut hingga muncul sinyal pembalikan yang meyakinkan, bukan karena koreksi kecil, volume menurun, atau harga stagnan."
51,Dow Theory & Market Cycles,Salah satu prinsip Dow Theory adalah:,Tren bergerak acak,Volume harus mengonfirmasi tren,Indikator lebih penting dari harga,Harga selalu sideways,B,"Dalam Dow Theory, volume merupakan salah satu konfirmasi penting untuk menilai validitas suatu tren, di mana volume cenderung meningkat searah dengan tren utama."
52,Dow Theory & Market Cycles,"Dalam Dow Theory, volume idealnya:",Tidak penting,Selalu menurun,Mengonfirmasi arah tren,Bertentangan dengan harga,C,"Dalam Dow Theory, volume yang ideal berfungsi untuk mengonfirmasi arah tren, misalnya volume meningkat saat harga bergerak sesuai tren utama sebagai tanda validitas pergerakan tersebut."
53,Dow Theory & Market Cycles,Breakout valid menurut Dow Theory harus disertai:,Volume rendah,Volume meningkat,Tanpa volume,Volume stagnan,B,"Menurut Dow Theory, konfirmasi volume merupakan syarat validitas suatu pergerakan, sehingga breakout yang sah harus disertai peningkatan volume sebagai tanda partisipasi dan kekuatan pasar."
54,Dow Theory & Market Cycles,Dow Theory membagi fase pasar bullish menjadi:,2 fase,3 fase,4 fase,5 fase,B,"Menurut Dow Theory, pasar bullish terbagi menjadi tiga fase: fase akumulasi, fase partisipasi publik (mark-up), dan fase distribusi."
55,Dow Theory & Market Cycles,"Fase ""public participation"" terjadi pada:",Awal tren,Tengah tren,Akhir tren,Saat distribusi,B,"Menurut Dow Theory, fase partisipasi publik (public participation) merupakan fase kedua dari tiga fase pasar bullish, di mana harga mulai naik dengan cepat dan volume meningkat karena masyarakat luas ikut masuk, terjadi di tengah-tengah tren utama."
56,Dow Theory & Market Cycles,Fase distribusi biasanya ditandai oleh:,Optimisme ekstrem,Pesimisme ekstrem,Volume sangat rendah,Tidak ada volatilitas,A,"Dalam Dow Theory, fase distribusi (fase ketiga pasar bullish) ditandai oleh optimisme yang meluas dan euforia di kalangan publik, sementara para pelaku cerdas (smart money) mulai melepas posisi mereka."
57,Dow Theory & Market Cycles,Dow Theory menyatakan bahwa indeks harus:,Bergerak berlawanan,Bergerak acak,Saling mengonfirmasi,Tidak berhubungan,C,"Menurut Dow Theory, suatu sinyal tren tidak dianggap valid hingga dua indeks yang relevan (misalnya Dow Jones Industrial Average dan Dow Jones Transportation Average) bergerak searah dan saling mengonfirmasi pergerakan tersebut."
58,Dow Theory & Market Cycles,"Jika satu indeks membuat Higher High tetapi indeks lain tidak, maka:",Tren semakin kuat,Terjadi divergensi,Breakout valid,Tren pasti naik,B,"Menurut Dow Theory, validitas tren memerlukan konfirmasi dari semua indeks yang dianalisis, sehingga ketika satu indeks mencapai higher high sementara indeks lain tidak, hal tersebut menandakan adanya pelemahan atau ketidaksepakatan antar indeks (divergensi), yang berpotensi menjadi sinyal peringatan pembalikan tren."
59,Dow Theory & Market Cycles,Dow Theory paling efektif digunakan pada:,Time frame kecil,Scalping,Time frame besar,High-frequency trading,C,"Dow Theory berfokus pada tren utama (primary trend) yang berlangsung berbulan hingga tahunan, sehingga analisisnya paling efektif diterapkan pada time frame besar seperti harian, mingguan, atau bulanan, bukan untuk scalping, time frame kecil, atau high-frequency trading."
60,Dow Theory & Market Cycles,Kelemahan utama Dow Theory adalah:,Terlalu banyak indikator,Sinyal datang terlambat,Tidak menggunakan volume,Tidak bisa menentukan tren,B,"Dow Theory bersifat lagging, di mana sinyal pembalikan tren baru terkonfirmasi setelah pergerakan harga yang signifikan terjadi, sehingga trader sering kali masuk terlambat dan melewatkan sebagian awal tren."
61,Philosophy & History of Technical Analysis,Analisis teknikal berasumsi bahwa:,Harga ditentukan laporan keuangan,Harga bergerak acak,Harga mencerminkan semua informasi,Harga hanya dipengaruhi makro ekonomi,C,"Prinsip dasar analisis teknikal menyatakan bahwa semua faktor (fundamental, psikologis, berita, dll.) telah tercermin dalam harga, sehingga analisis harga itu sendiri sudah cukup untuk memprediksi pergerakan masa depan."
62,Technical Indicators,Time frame dalam analisis teknikal berfungsi untuk:,Menentukan fundamental saham,Menyesuaikan gaya trading,Menghitung dividen,Menentukan nilai buku,B,"Dalam analisis teknikal, time frame (misalnya 1 menit, 1 jam, harian, mingguan) digunakan untuk menyesuaikan periode analisis dengan strategi dan gaya trading masing-masing trader, seperti scalping, day trading, swing trading, atau position trading."
63,Dow Theory & Market Cycles,"Prinsip ""history repeats itself"" berarti:",Harga selalu kembali ke awal,Pola harga cenderung berulang,Volume selalu sama,Tren tidak pernah berubah,B,"Prinsip ""history repeats itself"" dalam analisis teknikal didasarkan pada psikologi pasar yang relatif konstan, sehingga pola harga di masa lalu cenderung muncul kembali di masa depan."
64,Philosophy & History of Technical Analysis,Data utama analisis teknikal adalah:,Laba bersih,Arus kas,Harga dan volume,Neraca,C,"Analisis teknikal berfokus pada data historis harga dan volume transaksi sebagai input utama, bukan pada laba bersih, arus kas, atau neraca yang merupakan domain analisis fundamental."
65,Technical Indicators,Uptrend ditandai dengan:,Lower High - Lower Low,Higher High - Higher Low,Equal High - Equal Low,Random movement,B,"Dalam analisis teknikal, uptrend didefinisikan sebagai serangkaian puncak yang semakin tinggi (higher high) dan lembah yang semakin tinggi (higher low) yang mencerminkan dominasi tekanan beli."
66,Technical Indicators,Downtrend akan dianggap berakhir jika:,Harga membuat Lower Low,Harga menembus resistance,Harga membuat Higher High,Volume menurun,C,"Dalam analisis teknikal, suatu downtrend dianggap berakhir ketika harga berhasil menembus puncak terakhir (lower high) dan membentuk puncak yang lebih tinggi (higher high), yang menandakan potensi perubahan tren dari turun menjadi naik."
67,Technical Indicators,Sideways market ditandai oleh:,Higher High,Lower Low,Range yang jelas,Breakout kuat,C,"Dalam kondisi pasar sideways, harga bergerak secara horizontal di antara level support dan resistance yang dapat diidentifikasi, tanpa membentuk higher high atau lower low yang berarti."
68,Support & Resistance,Trendline valid minimal disentuh sebanyak:,1 kali,2 kali,3 kali,4 kali,C,"Dalam analisis teknikal, sebuah garis tren (trendline) dianggap valid dan signifikan minimal setelah disentuh oleh harga sebanyak tiga kali, di mana dua titik pertama untuk menggambar garis dan titik ketiga untuk mengonfirmasi keabsahannya."
69,Support & Resistance,Support adalah area di mana:,Harga sulit naik,Tekanan jual dominan,Tekanan beli muncul,Volume rendah,C,"Support merupakan level harga di mana tekanan beli diperkirakan cukup kuat untuk menghentikan penurunan harga, sehingga harga cenderung memantul naik."
70,Support & Resistance,Resistance terjadi karena:,Banyak pembeli menahan harga,Banyak penjual melepas saham,Tidak ada transaksi,Harga terlalu murah,B,"Resistance terbentuk saat harga mendekati level tertentu di mana banyak pelaku pasar cenderung menjual (tekanan jual dominan), sehingga menghalangi harga untuk naik lebih lanjut."
71,Support & Resistance,Support yang ditembus kuat biasanya akan menjadi:,Support baru,Resistance,Area netral,Fake breakout,B,"Dalam analisis teknikal, ketika level support ditembus dengan kuat oleh harga, peran level tersebut berubah menjadi resistance di mana harga cenderung akan tertahan jika mencoba kembali naik."
72,Support & Resistance,"Semakin sering level support diuji, maka:",Semakin kuat,Semakin lemah,Tidak berpengaruh,Pasti breakout,A,"Dalam analisis teknikal, setiap kali harga menyentuh level support tanpa berhasil menembusnya, level tersebut semakin teruji dan dianggap semakin kokoh karena menunjukkan adanya akumulasi pembeli yang berulang kali melindungi area tersebut."
73,Chart Patterns,Pola Head and Shoulders menandakan:,Continuation,Reversal bearish,Reversal bullish,Sideways,B,Pola Head and Shoulders (top) yang terbentuk setelah tren naik memberikan sinyal pembalikan dari tren naik ke tren turun (bearish reversal).
74,Chart Patterns,Inverse Head and Shoulders bersifat:,Bearish,Bullish,Netral,Sideways,B,Pola Inverse Head and Shoulders (Head and Shoulders bottom) terbentuk setelah tren turun dan menandakan pembalikan ke tren naik (bullish reversal).
75,Chart Patterns,Pola Triangle termasuk pola:,Reversal,Continuation,Exhaustion,Distribution,B,"Dalam analisis teknikal, pola Triangle (baik ascending, descending, maupun symmetrical) umumnya dianggap sebagai pola kelanjutan yang mengindikasikan harga akan melanjutkan tren sebelumnya setelah periode konsolidasi."
76,Chart Patterns,Double Top menunjukkan potensi:,Kenaikan lanjutan,Pembalikan turun,Konsolidasi,Breakout bullish,B,"Pola Double Top yang terbentuk setelah tren naik dengan dua puncak di level resistensi yang sama mengindikasikan kegagalan harga untuk melanjutkan kenaikan, sehingga berpotensi membalik menjadi tren turun."
77,Candlestick Patterns,Candlestick mencerminkan:,Fundamental,Psikologi pasar,Nilai intrinsik,Laporan keuangan,B,"Candlestick merepresentasikan dinamika antara pembeli dan penjual dalam suatu periode, mencerminkan emosi, sentimen, dan perilaku pelaku pasar, bukan fundamental, nilai intrinsik, atau laporan keuangan."
78,Candlestick Patterns,Bullish Engulfing menunjukkan:,Tekanan jual,Pembalikan turun,Dominasi buyer,Sideways,C,"Pola Bullish Engulfing terbentuk ketika candlestick hijau yang besar sepenuhnya menutupi candlestick merah sebelumnya, menandakan bahwa pembeli mengambil alih kendali dan berpotensi membalikkan tren turun menjadi naik."
79,Candlestick Patterns,Doji menandakan:,Tren kuat,Ketidakpastian,Breakout,Volume besar,B,"Pola Doji memiliki body yang sangat kecil atau hampir tidak ada, menandakan bahwa kekuatan pembeli dan penjual sedang berimbang sehingga pasar berada dalam kondisi ragu atau indecisive."
80,Candlestick Patterns,Hammer muncul idealnya di:,Puncak uptrend,Tengah sideways,Dasar downtrend,Resistance kuat,C,"Pola Hammer merupakan candlestick pembalikan bullish yang idealnya muncul di akhir tren turun (dasar downtrend), menandakan bahwa tekanan jual mulai melemah dan potensi pembalikan ke atas meningkat."
